GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO taglibrary,nl.b3p.web.jsp,CronFormatterTag,20,51,3,3,7,17,4,4,1,4
BRMO taglibrary,nl.b3p.web.jsp,StringVariable,24,0,2,0,5,0,3,0,2,0
BRMO taglibrary,nl.b3p.web.jsp,LogfileUtil,5,94,3,7,2,21,3,6,0,4
BRMO taglibrary,nl.b3p.web.jsp,TailTag,220,36,18,0,51,13,17,5,8,5
BRMO taglibrary,nl.b3p.web.jsp,DownloadTag,171,0,12,0,48,0,13,0,7,0
