GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO service/brmo-persistence,nl.b3p.brmo.persistence,SnakeCasePhysicalNamingStrategy,7,57,0,4,1,10,1,8,1,6
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.auth,Gebruiker,13,16,0,0,5,6,4,3,4,3
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.auth,Groep,7,22,0,0,3,8,2,5,2,5
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadProces,178,7,0,0,60,3,39,2,39,2
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,Bericht.STATUS,0,57,0,0,0,10,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BGTLoaderProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,AfgifteNummerScannerProces,105,0,8,0,19,0,13,0,9,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BRKScannerProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,Bericht,96,11,0,0,41,5,27,3,27,3
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,AutomatischProces,27,54,1,3,12,19,8,10,7,9
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,TopNLScannerProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BerichtstatusRapportProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BerichtTransformatieProces,28,0,2,0,5,0,4,0,3,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadprocesStatusRapportProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadProces.STATUS,0,51,0,0,0,9,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,MailRapportageProces,24,106,5,7,5,20,5,8,0,7
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,MaterializedViewRefresh,10,0,0,0,2,0,2,0,2,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,GDS2OphaalProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadprocesTransformatieProces.LaadprocesSoorten,49,0,2,0,11,0,5,0,4,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,AutomatischProces.ProcessingStatus,0,39,0,0,0,8,0,2,0,2
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,ClobElement,67,17,17,1,15,6,14,4,5,4
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,DirectoryScannerProces,33,22,3,1,6,5,4,3,2,3
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BRK2ScannerProces,0,3,0,0,0,1,0,1,0,1
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,NHRInschrijving,45,0,0,0,19,0,13,0,13,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BerichtDoorstuurProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,LaadprocesTransformatieProces,21,0,0,0,4,0,3,0,3,0
BRMO service/brmo-persistence,nl.b3p.brmo.persistence.staging,BAG2MutatieProces,3,0,0,0,1,0,1,0,1,0
BRMO service/brmo-soap-util,nl.b3p.brmo.soap.util,LogMessageHandler,79,0,6,0,24,0,9,0,6,0
BRMO service/brmo-init-util,nl.b3p.brmo.service.util,DiagnosticsServlet,115,0,6,0,30,0,10,0,7,0
BRMO service/brmo-init-util,nl.b3p.brmo.service.util,ConfigUtil,251,0,22,0,77,0,25,0,14,0
BRMO service/brmo-init-util,nl.b3p.brmo.service.util,VersieInfo,108,0,4,0,33,0,9,0,7,0
BRMO service/brmo-loader,nl.b3p.brmo.loader.util,BrmoLeegBestandException,16,0,0,0,7,0,4,0,4,0
BRMO service/brmo-loader,nl.b3p.brmo.loader.util,BrmoException,16,0,0,0,7,0,4,0,4,0
BRMO service/brmo-loader,nl.b3p.brmo.loader.util,StagingRowHandler,20,359,26,50,5,79,26,15,0,3
